date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:26	53081/53081	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:29%20GMT	http://graphicfort.com/templates/plume/index-cleaning.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/index-cleaning.html	(from )
22:25:27	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Sep%202021%2021:25:27%20GMT	http://graphicfort.com/robots.txt		(from )
22:25:28	5430/5430	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22240ccb-1536-55b591d56d480%22	http://graphicfort.com/templates/plume/images/icons/favicon.ico	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/favicon.ico	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:28	879/879	---M--	200	added ('OK')	image/png	etag:%22240cc7-36f-55b591d385000%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-57x57.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-57x57.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:29	877/877	---M--	200	added ('OK')	image/png	etag:%22240cc8-36d-55b591d479240%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-60x60.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-60x60.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:30	999/999	---M--	200	added ('OK')	image/png	etag:%22240cc9-3e7-55b591d479240%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-72x72.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-72x72.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:31	1035/1035	---M--	200	added ('OK')	image/png	etag:%22240cca-40b-55b591d56d480%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-76x76.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-76x76.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:32	1401/1401	---M--	200	added ('OK')	image/png	etag:%22240cc2-579-55b591d19cb80%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-114x114.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-114x114.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:33	1490/1490	---M--	200	added ('OK')	image/png	etag:%22240cc3-5d2-55b591d19cb80%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-120x120.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-120x120.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:34	1770/1770	---M--	200	added ('OK')	image/png	etag:%22240cc4-6ea-55b591d290dc0%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-144x144.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-144x144.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:35	1791/1791	---M--	200	added ('OK')	image/png	etag:%22240cc5-6ff-55b591d290dc0%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-152x152.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-152x152.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:36	2068/2068	---M--	200	added ('OK')	image/png	etag:%22240cc6-814-55b591d385000%22	http://graphicfort.com/templates/plume/images/icons/apple-touch-icon-180x180.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/icons/apple-touch-icon-180x180.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:38	942/942	---MC-	200	added ('OK')	text/css	date:Wed,%2029%20Sep%202021%2021:25:37%20GMT	https://fonts.googleapis.com/css?family=Montserrat:400,700%7CPoppins:400,500,600	/Users/sodiqalase/websites/Plume/fonts.googleapis.com/css6ebe.css	(from http://graphicfort.com/templates/plume/index-cleaning.html)
